,Place,Event,Time,Date,Subject
4358,the 29th,He,,,
4359,the 28th,He,,,
4360,the 3rd,The Hungarians,,,
4361,which,it,,,
4362,the 20th,He,,,
4363,the 21st,his army,,,Ibrahim
4364,April,he,,,
4365,April,Midhat,,,Hillah
4366,the 12th,,,,
4367,April,Mr Asquith,,,Asquith
4368,Liberius,,,,
4369,the 8th,Gorchakov,,,Gorchakov
4370,,It,,,
4371,the 27th,the word,,,
4372,the emperor,,,,Nicholas II
4373,April,Haarmann,,,
4374,a family register,his earlier biographers,,,Xavero
4375,an outbreak,he,,,Martim Alfonso de Sousa
4376,April,he,,,St Thomas
4377,"the ""Santa Cruz",Xavier,,,
4378,,,,,
4379,the regent,who,,,Margaret
4380,their first winter,the plants,,,
4381,Putney,,,,
4382,a gentleman commoner,the new tutor,,,Gibbon
4383,April,which,,,
4384,April,,,,
4385,the pressure,he,,,
4386,the schism,who,,,Charles of Moravia
4387,October,"A so-called "" rainy season",,,
4388,April,a similar plague,,,Biological Survey
4389,a strike,the state,,,
4390,the peerage,,,,Gloucester
4391,the next year,he,,,
4392,the House,,,,
4393,the peerage,he,,,Anglesey
4394,the removal,,,,
4395,conspicuous courage,He,,,
4396,a favourable season,,,,Celli
4397,his kinsman,who,,,Turlough Luineach O'Neill
4398,April,Tyrone,,,
4399,Pope Paul V.,Tyrconnel,,,Tyrconnel
4400,April,he,,,Scots
4401,fluctuating success,who,,,Monro
4402,king,which,,,Richard
4403,paralysis,He,,,
4404,the elections,he,,,
4405,April,southeast trade winds,,,
4406,the group,which,,,
4407,April,it,,,
4408,four departments,they,,,
4409,the international authorities,,,,
4410,the twelfth calends,we,,,Easter
4411,the burning,the hottest months,,,
4412,high-water,,,,
4413,ranges,the cotton plantations,,,
4414,the Secession Convention,,,,
4415,Florida,Sir Walter Raleigh,,,Arthur Barlowe
4416,Sir Richard Grenville,a colony,,,Richard Grenville
4417,the same day,he,,,
4418,the consideration,the same body,,,
4419,the following April,every eastern county,,,
4420,the great rise,which,,,
4421,the extreme northern border,which,,,Acacia
4422,April,,,,
4423,Pembroke College,,,,Cheltenham
4424,his own followers,Stamboliiski,,,Stamboliiski
4425,this time,he,,,
4426,it,Mirabeau,,,
4427,a feeble hand,he,,,
4428,Pitt's first ministry,he,,,Pitt
4429,Fontevrault,She,,,
4430,the first Monday,,,,
4431,a first sample,,,,Dijon
4432,his successor,Maurepas,,,Malesherbes
4433,Luther Libby,he,,,Luther Libby
4434,a town,,,,c. 1685-1744
4435,the 2nd,Petersburg,,,Petersburg
4436,the following morning,the Federal troops,,,Godfrey Weitzel
4437,the native Latin goddess,,,,Libera
4438,intervals,refreshing showers,,,
4439,the different crops,It,,,
4440,an acre,,,,
4441,the United Kingdom,a decided increase,,,
4442,the starting,,,,
4443,the exchequer,the younger Bruce,,,Edward
4444,his consent,she,,,Marjorie
4445,glory,no virtuous man,,,Judas Maccabaeus
4446,the fifth member,that majority,,,Barthelemy
4447,the 12th,,,,
4448,ecoles secondaires,,,,
4449,the murder,,,,Nelson
4450,the affair,It,,,
4451,"the ""Plot",who,,,Bonaparte
4452,the recovery,they,,,
4453,support,Chateaubriand,,,
4454,the 21st,he,,,
4455,the 4th,the Addington cabinet,,,
4456,the 10th,Whitworth,,,
4457,order,it,,,
4458,the 2nd,,,,
4459,his departure,,,,
4460,Prussia,he,,,Francis of Austria
4461,the 1st,it,,,
4462,,The defection,,,
4463,the nth,he,,,
4464,April,he,,,Lady Sophia Fermor
4465,the rest,he,,,Danton
4466,the Revolutionary Tribunal,,,,
4467,which,she,,,
4468,,,,,Claiborne Clay
4469,recognition,which,,,Poynt Comfort
4470,the 28th,which,,,
4471,Wareham,Elizabeth,,,Elizabeth
4472,self-governing areas,He,,,
4473,,which,,,Thorn
4474,the claim,the Roman curia,,,Theobald
4475,April,which,,,Rouget de Lisle
4476,order,The reorganization,,,
4477,consequence,which,,,
4478,the 17th,the Federal senators,,,
4479,Paul Revere,,,,
4480,April,,,,
4481,a squadron,who,,,James Lucas
4482,the 4th,he,,,
4483,his son,who,,,Louis II
4484,April,which,,,
4485,the Piedmont region,,,,
4486,the morning,We,,,
4487,April,,,,
4488,normalcy,he,,,Harding
4489,an end,The twelve years' truce,,,Oldenbarneveldt
4490,the Hague on the 4th of April 1625,he,,,
4491,April,,,,
4492,April,five divisions,,,
4493,the end,the first prince,,,Bishop Adhemar
4494,May,Baldwin,,,
4495,account,Florida,,,Daytona
4496,Mackinac,the ice,,,
4497,April,he,,,Madison
4498,the same cool,he,,,
4499,the 11th,,,,Francis I.
4500,the 13th,He,,,
4501,the 11th,he,,,
4502,the 12th,A terrible fire,,,
4503,the 20th,de Ruyter,,,
4504,any foreign authority,the preamble,,,Catherine
4505,the rigours,he,,,
4506,the 21st,,,,Parilia
4507,the 20th,,,,Whitlock
4508,his great services,he,,,
4509,April,he,,,
4510,,,,,
4511,sections,,,,
4512,April,he,,,
4513,war,the pope,,,Naples
4514,Alexander's gratification,the French,,,
4515,the government,,,,
4516,a while,Lebois,,,Lebois
4517,death,,,,Buonarroti
4518,November,,,,John
4519,a five days' illness,He,,,
4520,,,,,
4521,opposition,,,,
4522,the 17th,,,,
4523,,It,,,
4524,a British naval force,,,,
4525,the 2nd,he,,,
4526,March,he,,,
4527,his son,He,,,Recared
4528,April,the experiment,,,
4529,Italy,he,,,
4530,pronounce allocutions,Other encyclicals,,,Supremi
4531,the return,He,,,
4532,the introduction,,,,
4533,the 1st,the trade,,,
4534,the Portuguese possessions,This law,,,
4535,no great distance,The linnet,,,bush
4536,his father's curate,he,,,
4537,Benjamin Ingham,John,,,Charles Delamotte
4538,April,Wesley,,,
4539,chancellor,he,,,Clare
4540,expectation,who,,,
4541,long meditation,he,,,Mackintosh
4542,the end,warmth,,,
4543,the Central Park,his statue,,,
4544,April,Lord Rosmead,,,
4545,the following day,He,,,
4546,expenses,Schools,,,
4547,the 30th,the Territory,,,
4548,Louisiana,that,,,
4549,control,The president,,,
4550,some important respects,This control,,,
4551,the War,,,,
4552,the 20th,the United States,,,
4553,the 1st,,,,
4554,April,Johnston,,,
4555,the remainder,she,,,Flora McDonald
4556,the death,This curious trio,,,Law
4557,the 22nd,Laurent,,,
4558,a matter,the revenues,,,
4559,the 25th,the chamber,,,
4560,imperial firman,,,,Ernest Cassel
4561,the 16th,He,,,
4562,the beginning,which,,,
4563,a heroic defence,Missolonghi,,,
4564,own isolated intervention,Russia,,,
4565,the three powers,Russia,,,
4566,Hafiz Pasha,,,,
4567,the ambassadors,himself,,,Menshikov
4568,the 24th,her troops,,,
4569,Turkey,Diplomacy,,,
4570,the 5th,who,,,Serbesti
4571,the Liberal Union,the grand vizier,,,Tewfik Pasha
4572,which,The senate,,,
4573,,Part,,,
4574,their mercy,their,,,
4575,his own arrival,he,,,
4576,Regensburg,simultaneously two additional corps,,,
4577,the other Dresden,"of 200,000 men",,,
4578,the 25th,April Napoleon,,,
4579,the same causes,he,,,
4580,the night,He,,,Cadiz
4581,April,the news,,,
4582,April,the work,,,
4583,the 3rd,the season,,,
4584,,,,,
4585,San Francisco,he,,,
4586,the time,the temperature,,,
4587,the Isle,the hydrogen-ion concentration,,,Whitley
4588,the 22ndof April,Sir Arthur Wellesley,,,Arthur Wellesley
4589,want,he,,,
4590,the news,Massena,,,Massena
4591,the breaches,the Badajoz,,,
4592,Sir John Murray,who,,,John Murray
4593,Grenade,he,,,Hill
4594,the 10th,Wellington,,,Soult
4595,Villefranque,Wellington,,,Soult
4596,Wellington,which,,,Suchet
4597,the summer,,,,
4598,May,failing health,,,
4599,the 15th,which,,,
4600,,,,,St Kilda
4601,April,he,,,
4602,the 25th,He,,,
4603,April,the new ones,,,
4604,France,,,,
4605,Konopist,Zizka,,,
4606,,an appanaged person,,,
4607,the second half,,,,
4608,,,,,
4609,June,he,,,Van Buren
4610,his defeat,he,,,
4611,his death,he,,,Surrey
4612,the attack,the young midshipman,,,Roads
4613,his relatives,he,,,Lorraine
4614,way,,,,
4615,his death,,,,
4616,Carbiesdale,he,,,Ross
4617,the 21st,he,,,Knowsley
4618,the 12th,He,,,
4619,the diet,,,,Nordin
4620,April,The German occupation,,,
4621,the coup,The murder,,,Needra
4622,April,The elections,,,
4623,the participators,,,,
4624,the advice,,,,Charles
4625,the permission,all officers,,,
4626,Laplace,he,,,
4627,cubs,the vixen,,,
4628,the same time,,,,
4629,the formation,He,,,
4630,Brazil,The boundary,,,
4631,November,,,,Matto Grosso
4632,April,he,,,
4633,the Commune,he,,,
4634,the walls,This army,,,
4635,the emperor,,,,
4636,Montalcino,many patriots,,,
4637,the vain hope,President Davis,,,Davis
4638,indemnity,he,,,
4639,the 10th,He,,,
4640,the bay,only four Europeans,,,
4641,difficulty,they,,,
4642,an independent community,then secretary,,,George Napier
4643,that country,The annexation,,,Theophilus Shepstone
4644,the 2nd,,,,
4645,"11,121 votes",,,,
4646,Maritzburg,the Census,,,
4647,the regular minister,,,,Monroe
4648,the entire province,the two ministers,,,Livingston
4649,April,He,,,
4650,his apartments,he,,,
4651,the 7th,,,,
4652,the 28th,He,,,
4653,the 29th,,,,
4654,wholesale arrests,The jobbagyok,,,Peter Zrinyi
4655,the basis,a peace-congress,,,the Archduke Charles
4656,a weapon,,,,Baron Jellachich
4657,,,,,Vácz
4658,the throne,the diet,,,
4659,the adoption,The opposition,,,
4660,,the negotiations,,,
4661,accordance,that,,,
4662,consequence,Dr Wekerle,,,Dr Wekerle
4663,April,,,,
4664,the 7th,this ungrateful work,,,
4665,a member,the king,,,
4666,,The Piedmontese forces,,,
4667,April,he,,,
4668,the 18th,He,,,
4669,the summer,no amount,,,
4670,far-reaching dictatorial powers,Cuvaj,,,Cuvaj
4671,Dalmatia,wide districts,,,
4672,the Roman Capitol,,,,
4673,a plebiscite,,,,
4674,Germany,he,,,Wilson
4675,the clemency,his case,,,Ivan VI.
4676,the 23rd,Ethelred,,,Mercia
4677,the 27th,he,,,
4678,the 15th,He,,,
4679,,,,,pope
4680,severe thunderstorms,,,,
4681,"garrison),1",,,,
4682,South Africa,,,,
4683,April,The discovery,,,Efforts Bechuanaland
4684,the 12th,the raad,,,Theophilus Shepstone
4685,the Boers,,,,
4686,April,this change,,,
4687,April,Plumer,,,
4688,his favour,,,,
4689,the see,,,,
4690,the 2 2nd,he,,,
4691,penal statutes,he,,,
4692,their pulpits,they,,,
4693,April,,,,
4694,their conduct,who,,,
4695,the action,they,,,Guiana
4696,April,The bridge,,,Wallenstein
4697,,,,,
4698,April,He,,,
4699,his death,he,,,
4700,his Palermo constituents,Crispi,,,
4701,Rome,he,,,
4702,21st May,,,,Adams
4703,the 5th,who,,,Henry Campbell-Bannerman's
4704,Ireland,their internal divisions,,,Winston Churchill's
4705,the 20th,He,,,
4706,the 15th,He,,,
4707,the 4th,He,,,
4708,the Daumart pedigree,it,,,Daumart
4709,some law affairs,,,,
4710,special offices,He,,,
4711,certain companies,her Majesty,,,Majesty
4712,April,Captain John Graunt,,,John Graunt
4713,ice,The lake,,,
4714,the north,The Murray canal,,,Murray
4715,Ginginhlovo,,,,
4716,the middle,Lord Chelmsford,,,Chelmsford
4717,St Helena,he,,,St Helena
4718,dawn,The arrangements,,,
4719,May,This,,,Cattaro
4720,addition,the Austrian boats,,,Leon Gambetta
4721,Sari Bair,Birdwood's force,,,Sari Bair
4722,the new undertaking,it,,,Anzac
4723,the 16th,,,,Georg Curtius
4724,the continuance,he,,,
4725,the committee,he,,,
4726,ten years' imprisonment,,,,
4727,,,,,
4728,poor Nell,that,,,Winchester
4729,Canterbury,,,,
4730,the cavalry,,,,
4731,five years,it,,,Lorenzo
4732,court,who,,,
4733,the 21st,he,,,
4734,honour,Alcoy,,,St George
4735,April,Mr Asquith,,,Lloyd George
4736,Bath,he,,,Bath
4737,committees,he,,,
4738,the 10th,which,,,Giessen
4739,the hot summer months,he,,,Jauf
4740,central Arabia,,,,
4741,the end,,,,
4742,centuries,,,,Abdul Aziz
4743,Deraiya,he,,,Huremala
4744,the end,April Ahmad Feizi Pasha,,,Ahmad Feizi Pasha
4745,Collot d'Herbois,he,,,Collot d'Herbois
4746,Italy,which,,,
4747,arms,who,,,Seekreis
4748,Kandern,they,,,Hecker
4749,thick bushes,It,,,
4750,,he,,,
4751,the neighbourhood,the Massachusetts General Court,,,
4752,King James,he,,,King James
4753,a reduction,which,,,
4754,England,,,,Edward Wightman
4755,private life,he,,,McKinley
4756,November,,,,
4757,February,,,,
4758,the 18th,Almagro,,,Almagro
4759,the battle,which,,,Almagro
4760,the plain,he,,,
4761,the 10th,,,,
4762,the great Chartist demonstration,,,,Kennington Common
4763,the beginning,The wet season,,,
4764,the treaty,,,,
4765,a radiant,,,,
4766,,,,,
4767,the communion,Catherine's greatest traditional glory,,,Catherine
4768,the 29th,she,,,
4769,the flight,,,,
4770,the tomb,which,,,Horace Porter
4771,Careggi,,,,Lorenzo de' Medici
4772,the Piazza della Signoria,an immense throng,,,
4773,,,,,
4774,the 19th,she,,,
4775,a literary society,he,,,
4776,the 6th,he,,,Limousin
4777,Berlin,the offer,,,Crelle
4778,the open air,They,,,
4779,March,they,,,
4780,April,they,,,Queen Ann's
4781,permanent hardy bulbs,all,,,&c.
4782,all adult male citizens,who,,,
4783,a subsequent amendment,An amendment,,,
4784,lawful labour,,,,
4785,March,,,,Anne Hutchinson
4786,the 29th,,,,Coddington
4787,the British government,the steps,,,
4788,the 18th,,,,Dorr
4789,imprisonment,,,,Dorr
4790,April,,,,
4791,April,,,,
4792,a kind,which,,,Tennyson
4793,Germany,he,,,Tennyson
4794,his return,who,,,Tennyson
4795,the 18th,He,,,
4796,private life,the undersecretary,,,Robert Peel
4797,the 18th,,,,
4798,the second time,he,,,
4799,the 8th,,,,Home Rule
4800,,,,,
4801,Georg Bunsen,a number,,,Bunsen
4802,the 11th,He,,,Valencia
4803,,we,,,
4804,,they,,,
4805,,,,,
4806,,You,,,
4807,,you,,,
4808,,I,,,
4809,,I,,,
4810,any minute,,,,
4811,,,,,
4812,it,I,,,
4813,,,,,
4814,,I,,,
4815,,I,,,Brenda
4816,both her,the king,,,
4817,,he,,,
4818,,,,,
4819,,I,,,
4820,,I,,,
4821,,,,,Natasha
4822,America,your children,,,
4823,,you,,,
4824,,he,,,
4825,,I,,,
4826,him,I,,,
4827,,The mother dragon,,,
4828,the school,who,,,
4829,,,,,Wizard
4830,,we,,,
4831,,the vilest sinner,,,
4832,,which,,,
4833,my friends,you,,,
4834,,I,,,
4835,,I,,,
4836,,,,,
4837,whom,she,,,
4838,,it,,,Walden Pond
4839,your work,they,,,
4840,,he,,,
4841,,he,,,
4842,Smolensk,,,,
4843,,we,,,
4844,this man,It,,,
4845,the ranch,Brandon,,,Brandon
4846,three pieces,you,,,
4847,,which,,,
4848,another state,They,,,
4849,a visit,he,,,Holmes
4850,other and less humane pursuits,I,,,
4851,the morning,,,,
4852,,which,,,
4853,,I,,,
4854,,I,,,
4855,a centre,you,,,
4856,something,I,,,
4857,,,,,
4858,you,You,,,
4859,pleasure,me,,,
4860,,I,,,
4861,himself,he,,,Charles Dudley Warner
4862,Helen,we,,,
4863,peacocks,we,,,
4864,this respect,we,,,
4865,Walden,the temperature,,,
4866,your very wood-pile,You,,,
4867,,which,,,
4868,,I,,,
4869,,I,,,
4870,the fact,such and such people,,,
4871,,you,,,
4872,,,,,
4873,,you,,,Meh
4874,,,,,
4875,,I,,,
4876,,I,,,
4877,those,she,,,
4878,their comprehension,children,,,
4879,mamma,he,,,
4880,,she,,,Sullivan
4881,what extent,she,,,
4882,,,,,
4883,some measure,he,,,
4884,,we,,,
4885,turns,all its inhabitants,,,
4886,,,,,
4887,Bonaparte's rule,I,,,Bonaparte
4888,,you,,,
4889,,,,,
4890,,I,,,
4891,,I,,,
4892,,that,,,
4893,,she,,,
4894,,Helen,,,Helen
4895,my opinion,people,,,
4896,,you,,,
4897,,,,,
4898,which,this molten earth,,,
4899,cheering thoughts,a quiet mind,,,
4900,the eradication,he,,,
4901,,I,,,
4902,,you,,,
4903,,,,,
4904,,,,,
4905,some,this sad experience,,,
4906,Boston,Miss Sullivan,,,Miss Sullivan
4907,her such other courtesies,,,,
4908,some particulars,,,,Keller
4909,-morrow,that,,,
4910,her,I,,,
4911,,,,,
4912,it,Indra,,,Indra
4913,the surface,such a bar,,,
4914,the hillsides,the sun,,,
4915,it,others,,,
4916,a poorhouse,You,,,
4917,,I,,,Schwarzenberg
4918,Mom,you,,,
4919,,I,,,
4920,,I,,,
4921,,I,,,
4922,the trees,we,,,wolf
4923,each,he,,,
4924,his rustic villa,the master,,,cellam oleariam
4925,,it,,,
4926,it,,,,
4927,,I,,,
4928,,,,,
4929,,You,,,
4930,the mortal world,that,,,
4931,,we,,,
4932,,they,,,
4933,,they,,,
4934,,he,,,Bishop Brooks
4935,you,which,,,
4936,that volume,,,,
4937,my hopes,the darkness,,,
4938,,it,,,
4939,a low voice,who,,,
4940,,This guy,,,
4941,,you,,,
4942,,That,,,
4943,,a pleasant voice,,,
4944,,,,,Martha
4945,,I,,,
4946,his death,he,,,Billy
4947,,you,,,
4948,,You,,,
4949,such a way,it,,,
4950,,I,,,
4951,,I,,,
4952,,You,,,
4953,,I,,,
4954,their powers,Only the Ancient Ones,,,
4955,anger,You,,,
4956,,he,,,
4957,,you,,,Qatwal
4958,,You,,,
4959,the war,He,,,
4960,,you,,,
4961,,We,,,
4962,some third world country,,,,
4963,other people,,,,
4964,his country,the nationalist,,,
4965,their marble gods,I,,,Greeks
4966,their emotions,she,,,
4967,,who,,,
4968,a visitor,he,,,
4969,the coast,it,,,
4970,,I,,,
4971,victory,you,,,
4972,you,I,,,
4973,,,,,
4974,,you,,,
4975,the garden,she,,,
4976,the place,we,,,
4977,,He,,,
4978,,it,,,
4979,,We,,,
4980,,Han,,,
4981,,I,,,
4982,your translator,you,,,
4983,,,,,
4984,,Samantha,,,Elisabeth
4985,time,I,,,
4986,your good looks,me,,,God's
4987,,you,,,
4988,,she,,,
4989,,I,,,
4990,it,I,,,
4991,,You,,,
4992,the emergency station,the fed,,,
4993,the hour,he,,,
4994,,,,,
4995,them,she,,,
4996,a relationship,both,,,
4997,,I,,,
4998,,you,,,
4999,,I,,,
5000,unproven suppo­sitions,I,,,
5001,whom,I,,,Arthur
5002,,Someone,,,
5003,the soul,,,,
5004,the soil,A good deal,,,
5005,the people,A majority,,,
5006,the formation,the legislature,,,
5007,,he,,,Wizard
5008,,,,,de Tocqueville's
5009,the so-called rudiments,we,,,
5010,confidence,it,,,
5011,this morning,he,,,John Smith
5012,,Even music,,,
5013,,a cake,,,
5014,,they,,,
5015,,you,,,
5016,,he,,,
5017,,both,,,
5018,,,,,
5019,her,He,,,
5020,,The poor old woman,,,
5021,,we,,,
5022,,,,,
5023,,I,,,
5024,him,who,,,
5025,,I,,,
5026,the west coast,I,,,Plotke
5027,,Dean,,,Dean
5028,his intentions,it,,,
5029,any means,Darkyn,,,Darkyn
5030,,he,,,Darkyn
5031,,It,,,
5032,a few hours,it,,,
5033,darkness,the lengthening daylight hours,,,Destiny
5034,,I,,,
5035,himself,him,,,
5036,the head,you,,,
5037,her,he,,,Gabriel
5038,an addition,who,,,
5039,,It,,,
5040,our commander,I,,,
5041,,I,,,
5042,two vessels,Crispi,,,Genoa
5043,discharge,A balloon,,,
5044,,,,,
5045,Falling Air Currents,Much,,,
5046,,,,,
5047,the radioactive emanation,Mache,,,
5048,,he,,,
5049,conduction,Dust particles,,,
5050,themselves,which,,,
5051,,,,,
5052,,I,,,
5053,mind,,,,Table Xiv
5054,personal adviser,he,,,Gavin
5055,the treaty,which,,,
5056,mushroom spawn,,,,
5057,,,,,
5058,horse-droppings,,,,
5059,years,It,,,
5060,several years,many persons,,,Marasmius
5061,which,he,,,Gammer Gurton
5062,dark caves,others,,,&c.
5063,their well-known and oft-recorded habit,book-scorpions,,,
5064,Privatdozent,he,,,
5065,either,,,,
5066,each house,,,,
5067,justices,,,,
5068,the 4th,West Virginia,,,
5069,the first extant Eton Audit Roll1444-1445as headmaster,who,,,Eton Audit
5070,a papal bull,,,,
5071,the 22nd,He,,,
5072,France,,,,Scots
5073,the 23rd,He,,,
5074,first glance,people,,,
5075,time,it,,,
5076,your bawbles,I,,,
5077,,I,,,
5078,,He,,,Natasha
5079,pleasure,we,,,Michaud
5080,that case,who,,,
5081,,you,,,
5082,,She,,,
5083,any case,she,,,
5084,rules,she,,,
5085,the night,he,,,
5086,the 13th,,,,Jorisz
5087,Masa-Fuera,Philip Carteret,,,Philip Carteret
5088,,,,,
5089,a great measure,the employment,,,Hansen
5090,appropriate staining,,,,
5091,,,,,
5092,I.,,,,
5093,the ureides,,,,
5094,Nemi,Cook,,,Cook
5095,his avarice,he,,,Matthew of
5096,an interesting historical example,,,,
5097,a preface,it,,,
5098,promiscuous) love,,,,
5099,Haussonville,,,,Haussonville
5100,ordain Greek clergy,Leo,,,
5101,Rome,,,,May Luther
5102,the 8th,the Egyptian troops,,,Santarosa
5103,a whole,,,,
5104,a mathematical investigation,,,,
5105,any direction,We,,,
5106,high elevations,the latter part,,,
5107,,,,,
5108,,we,,,
5109,,,,,
5110,obliquity,we,,,
5111,the reach,a very moderate increase,,,
5112,,exceptional conditions,,,
5113,abnormalities,we,,,
5114,,,,,
5115,the plant-tissues,a single female,,,
5116,,,,,
5117,all directions,,,,Angouleme
5118,the 23rd,,,,Alpine
5119,the protection,he,,,Marsala
5120,two forts,,,,Garibaldi
5121,the seeds,The food,,,
5122,Cardinalis,it,,,
5123,the Piedmontese,which,,,
5124,great slaughter,,,,Lord Derby
